Object,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
14,25.806976,17.492855,7.615773,30.413813,5.8309517,1.0,6.4031243,18.788294,5.3851647,24.0,1.0,30.0,27.166155,0.0,1.0,1.0,1.0,12.727922,16.40122,18.867962,30.805843,14.866069,30.413813,43.840622,32.649654,33.61547
15,27.658634,20.09975,12.165525,25.495098,10.198039,5.3851647,5.0,8.485281,16.970562,11.661903,13.038404,16.763054,13.038404,1.0,0.0,6.0,1.0,1.0,1.0,5.0,14.422205,1.0,14.764823,27.58623,18.681541,19.697716
16,38.587563,30.610456,20.615528,43.56604,19.104973,4.1231055,19.849434,29.832869,7.071068,34.525352,2.236068,40.311287,37.01351,1.0,6.0,0.0,1.0,15.264338,22.803509,20.808653,36.769554,10.770329,34.0,47.169907,34.828148,33.42155
17,37.735924,29.529646,19.697716,40.60788,17.888544,8.0,16.643316,25.059929,14.142136,29.15476,9.219544,34.48188,30.594116,1.0,1.0,1.0,0.0,7.071068,15.0,12.806249,28.160255,7.28011,25.23886,38.600517,26.870058,27.313
18,37.85499,30.265491,24.738634,34.669872,22.561028,19.235384,15.0,17.492855,29.698484,19.79899,24.758837,23.600847,18.867962,12.727922,1.0,15.264338,7.071068,0.0,1.0,1.0,13.341664,1.0,10.630146,24.083189,13.416408,15.524175
19,34.234486,27.0,23.70654,30.016663,21.470911,20.518284,12.0415945,13.0,33.600594,14.3178215,30.016663,17.0,12.0415945,16.40122,1.0,22.803509,15.0,1.0,0.0,1.0,1.0,1.0,1.0,12.727922,6.0,13.038404
20,42.426407,35.057095,30.083218,38.013157,27.89265,25.495098,20.0,21.189621,35.35534,21.931713,30.413813,25.455845,20.518284,18.867962,5.0,20.808653,12.806249,1.0,1.0,0.0,10.0,1.0,5.0,18.439089,8.246211,13.0
21,41.59327,35.902645,36.23534,28.01785,33.600594,34.058773,20.615528,19.104973,48.010414,15.0,44.418465,14.866069,1.0,30.805843,14.422205,36.769554,28.160255,13.341664,1.0,10.0,0.0,6.0827627,1.0,1.0,1.4142135,12.206555
22,47.042534,39.56008,31.144823,40.24922,29.15476,23.0,23.769728,25.179358,26.400757,23.70654,22.135944,26.832815,21.931713,14.866069,1.0,10.770329,7.28011,1.0,1.0,1.0,6.0827627,0.0,1.0,13.0,1.0,1.0
23,47.169907,41.0,39.446167,37.336308,37.12142,35.846897,25.495098,25.0,47.38143,21.377558,42.80187,23.409399,15.811388,30.413813,14.764823,34.0,25.23886,10.630146,1.0,5.0,1.0,1.0,0.0,1.4142135,1.0,7.81025
24,57.48913,51.92302,51.62364,42.0119,49.24429,48.414875,36.769554,34.928497,60.811184,30.413813,56.22277,28.635643,13.601471,43.840622,27.58623,47.169907,38.600517,24.083189,12.727922,18.439089,1.0,13.0,1.4142135,0.0,1.0,11.18034
25,55.0,48.04165,43.965897,46.238514,41.761227,39.357338,33.0,33.0,49.497475,30.083218,44.553337,32.572994,23.323807,32.649654,18.681541,34.828148,26.870058,13.416408,6.0,8.246211,1.4142135,1.0,1.0,1.0,0.0,1.0
26,60.299255,53.037724,47.67599,53.66563,45.54119,41.761227,38.0,38.63936,48.82622,37.161808,44.102154,40.24922,33.24154,33.61547,19.697716,33.42155,27.313,15.524175,13.038404,13.0,12.206555,1.0,7.81025,11.18034,1.0,0.0
