Object,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
19,20.248457,21.400934,15.132746,13.0,19.849434,12.0415945,8.062258,8.062258,5.0,3.1622777,9.848858,16.40122,7.2111025,1.0,3.0,1.0,16.03122,1.0,0.0,4.0,1.0,1.0,22.135944,7.81025,1.0,46.389652,15.652476,28.79236,12.0415945,5.8309517,37.64306,25.495098,46.518814,21.213203,15.556349,9.0,10.440307,33.83785,26.870058,29.732138,32.202484,46.043457
20,17.0,16.124516,14.035668,17.029387,13.453624,7.071068,14.422205,4.0,5.8309517,12.369317,20.396078,4.2426405,1.0,1.0,16.124516,12.0,1.0,1.0,4.0,0.0,12.165525,1.0,6.708204,1.0,10.29563,31.06445,1.0,13.341664,1.0,7.071068,22.135944,10.0,30.88689,9.486833,9.433981,10.0,17.804493,19.104973,13.416408,15.6205,17.691807,31.144823
21,28.01785,29.832869,20.615528,16.0,29.206163,21.213203,12.649111,16.970562,10.770329,7.0,8.944272,25.495098,16.643316,6.708204,1.0,1.0,23.194826,8.062258,1.0,12.165525,0.0,2.236068,28.01785,9.848858,1.0,53.0,20.22375,34.234486,13.453624,7.071068,43.289722,29.410883,50.596443,22.803509,17.029387,7.615773,8.062258,37.161808,29.0,32.24903,35.341194,48.8774
22,24.083189,23.259407,21.0,20.615528,20.248457,14.3178215,15.652476,11.18034,11.0,11.18034,17.029387,14.3178215,7.071068,3.1622777,9.848858,7.2111025,11.18034,1.0,1.0,1.0,2.236068,0.0,16.0,1.0,1.0,41.0,8.246211,22.203604,5.0,1.0,31.257,17.888544,39.0,14.142136,8.602325,5.8309517,8.485281,26.076809,19.104973,21.931713,24.41311,38.27532
23,31.38471,25.079872,30.232433,36.069378,18.027756,20.248457,34.132095,21.213203,24.839485,31.780497,39.56008,10.198039,8.602325,19.697716,34.525352,30.364452,1.0,17.720045,22.135944,6.708204,28.01785,16.0,0.0,10.0,24.083189,17.117243,1.0,1.0,8.944272,19.416489,8.944272,1.0,18.601076,10.29563,15.556349,17.888544,25.612497,8.485281,10.440307,10.049875,10.0,20.248457
24,28.0,25.70992,25.079872,26.832815,22.135944,18.0,22.472204,15.0,16.155495,18.439089,24.758837,13.416408,8.246211,8.5440035,17.464249,14.866069,7.81025,5.0,7.81025,1.0,9.848858,1.0,10.0,0.0,5.0,35.0,2.0,16.0,1.0,1.0,25.019993,11.18034,32.31099,8.5440035,4.0,2.0,9.433981,19.416489,13.038404,15.556349,17.804493,31.622776
25,30.463093,31.622776,25.079872,22.36068,29.698484,22.203604,18.0,18.35756,15.0,13.0,16.124516,24.186773,16.970562,9.899495,6.4031243,6.708204,20.615528,7.81025,1.0,10.29563,1.0,1.0,24.083189,5.0,0.0,49.0408,16.0,30.0,7.2111025,1.0,39.0,24.33105,45.35416,16.643316,10.816654,1.0,1.0,31.622776,22.472204,26.400757,29.732138,42.941822
26,46.8615,39.824615,48.373547,56.364883,29.832869,37.215588,56.0803,42.379242,46.486557,55.31727,63.348244,25.23886,30.083218,41.761227,59.03389,54.589375,20.09975,42.190044,46.389652,31.06445,53.0,41.0,17.117243,35.0,49.0408,0.0,23.086792,9.0,32.55764,44.181442,1.0,16.763054,1.0,30.083218,37.336308,41.773197,46.518814,10.816654,27.730848,25.059929,22.825424,12.649111
27,26.925823,22.090721,25.059929,30.413813,17.464249,16.27882,28.01785,15.6205,19.104973,25.495098,33.12099,7.0,4.0,13.416408,27.202942,23.70654,1.0,11.401754,15.652476,1.0,20.22375,8.246211,1.0,2.0,16.0,23.086792,0.0,4.0,1.0,11.045361,13.0,1.0,20.59126,1.0,5.8309517,9.433981,16.124516,7.071068,1.0,2.236068,5.0990195,18.601076
28,34.058773,27.202942,33.970577,41.04875,18.384777,23.345236,40.24922,26.41969,30.413813,38.483765,46.238514,12.0415945,13.892444,25.495098,41.0,37.0,3.1622777,24.351591,28.79236,13.341664,34.234486,22.203604,1.0,16.0,30.0,9.0,4.0,0.0,13.601471,25.079872,1.0,1.0,8.944272,12.727922,19.235384,22.803509,29.206163,1.0,10.816654,9.219544,7.071068,13.0
29,31.575306,28.071337,29.12044,32.24903,24.186773,21.213203,27.730848,18.973665,21.470911,23.323807,29.0,13.928389,10.440307,13.892444,20.808653,19.104973,8.062258,10.630146,12.0415945,1.0,13.453624,5.0,8.944272,1.0,7.2111025,32.55764,1.0,13.601471,0.0,1.0,22.0,7.0,27.294687,1.0,1.0,1.0,8.602325,13.341664,5.0,8.062258,11.401754,24.698177
30,32.38827,31.780497,29.0,27.856777,28.653097,22.803509,22.803509,19.646883,19.0,18.027756,22.803509,21.260292,15.0,11.0,14.21267,13.038404,17.0,8.0,5.8309517,7.071068,7.071068,1.0,19.416489,1.0,1.0,44.181442,11.045361,25.079872,1.0,0.0,34.0,19.0,39.623226,10.29563,4.472136,1.0,3.6055512,25.70992,16.27882,20.248457,23.769728,36.67424
31,43.13931,36.069378,43.185646,50.219517,26.24881,32.526913,49.193497,35.510563,39.446167,47.169907,55.027267,21.213203,22.825424,34.48188,50.01,45.88028,12.206555,33.24154,37.64306,22.135944,43.289722,31.257,8.944272,25.019993,39.0,1.0,13.0,1.0,22.0,34.0,0.0,5.0990195,1.0,18.439089,25.70992,31.016125,34.539833,1.0,15.811388,13.038404,10.816654,5.0990195
32,37.576588,31.622776,35.846897,41.036568,25.019993,26.400757,38.418747,26.400757,29.732138,35.510563,42.941822,16.552946,14.3178215,23.600847,36.769554,33.54102,7.071068,21.095022,25.495098,10.0,29.410883,17.888544,1.0,11.18034,24.33105,16.763054,1.0,1.0,7.0,19.0,5.0990195,0.0,11.18034,3.0,10.198039,16.0,19.235384,1.0,1.0,1.0,1.0,12.206555
33,53.740116,46.66905,53.75872,60.60528,36.796738,43.13931,59.07622,45.80393,49.648766,56.435802,63.953106,31.827662,33.01515,44.418465,57.939625,54.56189,22.671568,42.059483,46.518814,30.88689,50.596443,39.0,18.601076,32.31099,45.35416,1.0,20.59126,8.944272,27.294687,39.623226,1.0,11.18034,0.0,23.086792,30.0,36.013885,37.336308,1.0,20.0,16.0,13.601471,1.0
34,40.024994,36.013885,37.64306,40.706264,31.575306,29.614185,36.359318,27.513634,29.966648,32.202484,38.183765,21.095022,18.0,22.36068,30.232433,28.284271,14.3178215,18.788294,21.213203,9.486833,22.803509,14.142136,10.29563,8.5440035,16.643316,30.083218,1.0,12.727922,1.0,10.29563,18.439089,3.0,23.086792,0.0,1.0,6.0,8.602325,9.055386,1.0,3.6055512,7.071068,20.12461
35,38.0,35.69314,35.057095,36.05551,32.01562,28.0,31.304953,25.0,25.70992,26.925823,32.55764,22.36068,18.248287,17.720045,24.41311,22.671568,16.643316,14.3178215,15.556349,9.433981,17.029387,8.602325,15.556349,4.0,10.816654,37.336308,5.8309517,19.235384,1.0,4.472136,25.70992,10.198039,30.0,1.0,0.0,1.0,2.0,16.03122,4.1231055,10.0,13.0,25.019993
36,37.054016,35.44009,33.06055,30.265491,31.95309,27.166155,26.0,24.083189,23.0,21.0,23.259407,23.021729,18.027756,16.03122,13.416408,14.3178215,17.691807,13.0,9.0,10.0,7.615773,5.8309517,17.888544,2.0,1.0,41.773197,9.433981,22.803509,1.0,1.0,31.016125,16.0,36.013885,6.0,1.0,0.0,1.0,22.022715,9.0,15.033297,18.0,30.016663
37,39.92493,40.81666,34.36568,31.06445,38.418747,31.38471,27.018513,27.730848,24.186773,22.022715,23.259407,31.400637,25.455845,18.867962,13.601471,15.033297,26.172504,16.40122,10.440307,17.804493,8.062258,8.485281,25.612497,9.433981,1.0,46.518814,16.124516,29.206163,8.602325,3.6055512,34.539833,19.235384,37.336308,8.602325,2.0,1.0,0.0,24.020824,10.198039,16.0,19.0,31.0
38,45.486263,38.948685,44.65423,50.20956,30.675724,34.4093,47.423622,35.468296,38.8973,44.20407,51.312767,23.70654,23.021729,32.55764,44.72136,41.677334,13.892444,29.832869,33.83785,19.104973,37.161808,26.076809,8.485281,19.416489,31.622776,10.816654,7.071068,1.0,13.341664,25.70992,1.0,1.0,1.0,9.055386,16.03122,22.022715,24.020824,0.0,6.0,2.828427,1.0,1.0
39,43.68066,39.20459,41.4367,44.94441,34.0,33.24154,41.231056,31.38471,34.0,37.48333,44.04543,24.020824,21.095022,26.627054,36.23534,34.20526,16.124516,23.43075,26.870058,13.416408,29.0,19.104973,10.440307,13.038404,22.472204,27.730848,1.0,10.816654,5.0,16.27882,15.811388,1.0,20.0,1.0,4.1231055,9.0,10.198039,6.0,0.0,1.0,3.0,15.033297
40,44.94441,39.812057,42.953465,47.201694,34.0,34.20526,43.863426,33.12099,36.05551,40.311287,47.010635,24.5153,21.84033,29.068884,39.824615,37.202152,16.0,26.172504,29.732138,15.6205,32.24903,21.931713,10.049875,15.556349,26.400757,25.059929,2.236068,9.219544,8.062258,20.248457,13.038404,1.0,16.0,3.6055512,10.0,15.033297,16.0,2.828427,1.0,0.0,1.0,11.661903
41,46.09772,40.5216,44.294468,49.0408,34.058773,35.1141,45.96738,34.669872,37.802116,42.638012,49.648766,25.298222,22.847319,31.112698,42.941822,39.962482,16.124516,28.319605,32.202484,17.691807,35.341194,24.41311,10.0,17.804493,29.732138,22.825424,5.0990195,7.071068,11.401754,23.769728,10.816654,1.0,13.601471,7.071068,13.0,18.0,19.0,1.0,3.0,1.0,0.0,7.0
42,57.801384,51.42956,56.61272,62.241467,43.32436,46.647614,59.548298,47.507893,50.931328,56.400356,63.51378,36.249138,35.0,44.687805,56.435802,53.823788,26.400757,42.0119,46.043457,31.144823,48.8774,38.27532,20.248457,31.622776,42.941822,12.649111,18.601076,13.0,24.698177,36.67424,5.0990195,12.206555,1.0,20.12461,25.019993,30.016663,31.0,1.0,15.033297,11.661903,7.0,0.0
