Object,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
33,48.270073,50.695168,44.911022,40.112343,46.043457,40.5216,43.266617,41.785164,43.829212,33.526108,26.076809,39.661064,31.144823,36.069378,21.095022,30.479502,20.396078,26.400757,34.20526,17.0,17.088007,18.439089,11.661903,14.21267,24.083189,7.0,4.1231055,7.615773,16.27882,18.384777,1.0,5.0990195,0.0,10.198039,16.27882,1.0,10.770329,4.0,1.0,2.236068,12.0415945,11.313708
34,54.56189,60.0,51.971146,44.922153,58.0517,48.82622,54.48853,51.224995,55.97321,41.04875,29.12044,52.801514,36.67424,51.884487,27.45906,45.276924,28.600698,39.20459,50.990196,20.615528,25.0,15.524175,25.23886,29.966648,40.853397,13.453624,5.656854,5.8309517,33.526108,7.615773,8.062258,1.0,10.198039,0.0,3.0,5.0,1.0,1.0,16.492422,12.0415945,6.3245554,12.806249
35,58.30952,64.53681,56.0357,47.92703,63.25346,53.263496,59.413803,55.9017,61.220913,45.453274,32.202484,58.249462,40.496914,57.697487,30.88689,51.0,33.24154,44.65423,56.859474,24.41311,29.698484,14.3178215,30.88689,35.846897,46.818798,18.867962,11.18034,9.486833,39.56008,1.0,13.928389,1.0,16.27882,3.0,0.0,11.0,1.0,7.0,22.203604,16.124516,7.81025,15.652476
36,49.0408,53.338543,46.09772,40.024994,50.24938,42.48529,47.201694,44.418465,48.104053,34.88553,25.019993,44.553337,31.320919,41.773197,21.540659,36.069378,22.36068,31.112698,40.0,16.03122,18.788294,15.811388,16.27882,19.79899,29.832869,6.708204,1.0,4.472136,22.022715,15.231546,1.0,2.0,1.0,5.0,11.0,0.0,5.0990195,1.0,1.0,1.0,4.2426405,4.1231055
37,56.364883,61.611687,53.712196,46.818798,59.413803,50.47772,55.97321,52.801514,57.31492,42.72002,31.04835,54.037025,38.483765,52.83938,29.15476,46.32494,30.232433,40.459858,51.884487,22.472204,26.627054,16.124516,26.400757,30.88689,41.62932,14.866069,7.2111025,7.615773,34.176014,6.4031243,9.219544,1.0,10.770329,1.0,1.0,5.0990195,0.0,1.0,16.0,8.246211,1.0,7.81025
38,50.32892,54.91812,47.423622,41.231056,52.3259,43.908997,49.0408,46.043457,50.20956,36.23534,26.076809,46.8615,32.572994,45.65085,22.847319,39.115215,23.70654,33.30165,44.72136,17.117243,20.12461,14.866069,19.209373,23.70654,34.539833,8.062258,1.0,3.0,27.202942,11.18034,2.236068,1.0,4.0,1.0,7.0,1.0,1.0,0.0,8.246211,1.0,1.0,1.0
39,48.0,48.270073,44.011364,41.976185,42.047592,39.115215,39.39543,39.623226,39.812057,33.06055,31.780497,35.35534,32.01562,31.144823,23.769728,25.806976,20.22375,22.36068,29.068884,21.954498,18.027756,26.400757,10.0,9.848858,19.104973,10.440307,12.806249,16.40122,11.401754,26.832815,1.0,13.601471,1.0,16.492422,22.203604,1.0,16.0,8.246211,0.0,1.0,11.18034,9.219544
40,55.7315,57.939625,52.17279,48.010414,53.0,47.801674,50.24938,49.0408,50.77401,40.792156,34.525352,46.615448,39.012817,43.13931,29.0,37.536648,27.658634,33.286633,41.036568,25.317978,24.33105,27.202942,18.788294,21.260292,31.112698,15.524175,12.0415945,15.231546,23.345236,22.203604,7.2111025,12.206555,2.236068,12.0415945,16.124516,1.0,8.246211,1.0,1.0,0.0,2.0,1.0
41,61.46544,66.037865,58.60034,52.201534,62.201286,55.072678,59.405388,57.14018,60.0,47.41308,36.67424,56.0803,43.65776,53.15073,34.0147,47.38143,34.88553,42.638012,51.40039,27.89265,31.304953,24.186773,27.802877,31.144823,41.231056,19.235384,12.083046,13.152946,33.42155,15.556349,13.038404,9.0,12.0415945,6.3245554,7.81025,4.2426405,1.0,1.0,11.18034,2.0,0.0,1.0
42,63.06346,66.211784,59.77458,54.589375,61.854668,55.713554,59.07622,57.271286,59.64059,48.38388,40.0,55.605755,45.705578,52.3259,35.69314,46.69047,35.468296,42.201897,50.20956,31.0,31.95309,29.410883,27.45906,30.413813,40.311287,21.095022,15.033297,17.464249,32.526913,22.627417,15.0,13.928389,11.313708,12.806249,15.652476,4.1231055,7.81025,1.0,9.219544,1.0,1.0,0.0
