Object,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
20,26.57066,25.059929,30.413813,18.0,15.524175,26.907248,15.556349,25.0,31.764761,8.0,3.1622777,13.453624,24.186773,1.0,12.529964,1.0,7.28011,16.0,1.0,0.0,1.0,5.0,1.0,20.59126,4.2426405,8.062258,15.0,1.0,6.4031243,19.849434
21,31.257,28.86174,31.622776,24.5153,20.396078,27.58623,18.027756,24.698177,29.732138,15.231546,9.848858,14.21267,21.095022,9.219544,12.0415945,2.0,5.656854,9.433981,1.0,1.0,0.0,20.09975,7.0,28.284271,1.0,13.601471,7.0,1.0,11.313708,24.698177
22,34.20526,36.124783,44.418465,20.12461,24.758837,43.32436,29.966648,42.44997,50.219517,14.21267,18.248287,29.832869,42.755116,6.0,32.06244,17.029387,28.0,37.0,22.0,5.0,20.09975,0.0,1.0,1.0,23.769728,1.0,33.54102,13.892444,11.661903,4.472136
23,31.906113,33.24154,40.496914,18.681541,21.931713,38.013157,25.553865,36.359318,43.046486,12.083046,12.806249,24.186773,35.510563,1.4142135,23.853722,10.816654,18.35756,25.0,11.661903,1.0,7.0,1.0,0.0,11.401754,9.055386,1.0,18.601076,1.0,1.0,12.206555
24,51.62364,53.740116,60.80296,36.796738,42.426407,58.30952,45.80393,56.82429,63.953106,31.827662,33.01515,44.418465,56.35601,21.931713,44.72136,31.06445,39.39543,46.572525,32.695564,20.59126,28.284271,1.0,11.401754,0.0,30.0,1.0,36.496574,18.0,13.601471,1.0
25,36.67424,33.01515,31.320919,31.622776,26.019224,25.70992,22.090721,22.135944,26.076809,22.825424,17.464249,16.124516,16.27882,17.029387,8.5440035,8.944272,1.0,5.0,1.0,4.2426405,1.0,23.769728,9.055386,30.0,0.0,15.0,1.0,1.0,9.055386,23.021729
26,42.059483,42.520584,49.0408,29.12044,31.622776,46.32494,34.058773,44.687805,51.0392,22.472204,21.260292,32.449963,43.416588,10.816654,32.01562,19.209373,26.400757,32.31099,19.849434,8.062258,13.601471,1.0,1.0,1.0,15.0,0.0,22.472204,3.0,1.0,1.0
27,36.05551,31.575306,28.284271,34.4093,26.400757,23.021729,20.0,19.104973,21.931713,27.58623,19.416489,15.652476,11.18034,23.021729,6.0,13.416408,1.0,1.0,2.236068,15.0,7.0,33.54102,18.601076,36.496574,1.0,22.472204,0.0,6.708204,15.0,29.0
28,39.623226,37.363083,39.962482,32.01562,28.86174,35.608986,26.57066,33.24154,38.8973,22.090721,17.0,22.472204,30.528675,14.56022,20.615528,10.440307,14.866069,18.867962,8.485281,1.0,1.0,13.892444,1.0,18.0,1.0,3.0,6.708204,0.0,1.0,13.601471
29,45.694637,44.294468,48.9183,35.014282,34.539833,45.254833,34.4093,43.185646,49.40648,26.24881,22.36068,31.827662,41.340054,16.0,30.479502,19.104973,24.839485,29.681644,18.384777,6.4031243,11.313708,11.661903,1.0,13.601471,9.055386,1.0,15.0,1.0,0.0,4.0
30,56.82429,57.00877,62.369865,43.65776,46.32494,58.694122,47.801674,56.63921,62.801273,37.161808,35.383614,45.254833,54.91812,25.553865,43.931767,32.526913,38.28838,43.416588,31.827662,19.849434,24.698177,4.472136,12.206555,1.0,23.021729,1.0,29.0,13.601471,4.0,0.0
