Object,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
14,24.186773,37.589893,31.95309,10.29563,7.2111025,5.0,19.723083,29.427877,2.236068,9.848858,1.0,1.0,1.0,0.0,17.029387,13.038404,1.0,9.055386,3.0,1.0,1.0,9.899495,1.0,2.0,12.206555,8.0,11.401754,23.43075,30.675724
15,9.486833,15.811388,6.4031243,8.485281,26.400757,14.422205,1.0,3.6055512,8.246211,36.124783,25.0,17.117243,28.0,17.029387,0.0,41.0,8.0,1.0,31.144823,23.086792,8.5440035,35.69314,22.203604,12.806249,32.31099,20.615528,28.178005,12.0,11.401754
16,44.64303,58.940647,54.589375,31.04835,7.2111025,19.697716,41.59327,53.037724,23.345236,1.0,8.944272,16.124516,1.0,13.038404,41.0,0.0,24.0,33.0,1.0,9.433981,21.587032,1.0,12.727922,21.540659,13.453624,24.186773,20.518284,44.28318,52.49762
17,14.866069,27.784887,22.135944,3.0,15.6205,6.708204,10.0,20.024984,1.0,20.248457,10.29563,4.472136,11.0,1.0,8.0,24.0,0.0,1.0,14.0,7.071068,1.0,19.313208,7.071068,5.8309517,19.104973,12.206555,16.40122,18.788294,22.203604
18,10.049875,19.849434,13.416408,3.1622777,19.416489,8.602325,1.4142135,11.0,1.4142135,28.160255,17.262676,9.219544,20.0,9.055386,1.0,33.0,1.0,0.0,23.0,14.142136,1.0,26.925823,13.341664,5.8309517,24.166092,13.453624,20.248457,12.649111,13.601471
19,37.12142,51.078373,45.88028,23.259407,7.071068,14.866069,33.24154,43.56604,15.231546,2.0,5.3851647,9.219544,1.0,3.0,31.144823,1.0,14.0,23.0,0.0,1.0,11.401754,1.0,4.2426405,11.661903,7.0,14.866069,12.206555,34.48188,42.379242
20,32.55764,45.486263,39.217342,19.104973,10.770329,13.892444,27.294687,36.05551,12.0415945,10.630146,6.0,8.062258,1.0,1.0,23.086792,9.433981,7.071068,14.142136,1.0,0.0,2.0,1.0,1.0,1.4142135,4.0,6.708204,8.0,24.41311,32.280025
21,22.825424,33.941124,25.942244,12.0,16.124516,10.0,15.556349,22.825424,5.656854,19.697716,10.0,5.3851647,9.433981,1.0,8.5440035,21.587032,1.0,1.0,11.401754,2.0,0.0,14.56022,1.0,1.0,12.727922,6.0827627,10.29563,12.0415945,17.888544
22,44.102154,57.706154,52.0,30.232433,16.0,22.803509,39.824615,49.0408,22.203604,12.369317,13.892444,17.029387,8.602325,9.899495,35.69314,1.0,19.313208,26.925823,1.0,1.0,14.56022,0.0,1.0,13.0,1.0,11.7046995,7.2111025,32.984844,43.104523
23,32.526913,45.221676,38.626415,19.209373,18.110771,16.124516,26.925823,35.468296,12.206555,16.155495,12.529964,11.0,8.246211,1.0,22.203604,12.727922,7.071068,13.341664,4.2426405,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20.615528,30.149628
24,30.083218,39.698868,30.610456,18.788294,20.248457,17.029387,21.954498,27.658634,12.369317,21.213203,13.416408,12.0,10.630146,2.0,12.806249,21.540659,5.8309517,5.8309517,11.661903,1.4142135,1.0,13.0,1.0,0.0,8.944272,1.0,5.0,10.630146,18.248287
25,44.553337,57.00877,49.648766,31.144823,22.0,26.400757,38.600517,46.52956,23.853722,19.235384,18.681541,20.880613,13.341664,12.206555,32.31099,13.453624,19.104973,24.166092,7.0,4.0,12.727922,1.0,1.0,8.944272,0.0,4.472136,1.0,27.073973,38.0
26,37.12142,47.423622,38.418747,25.059929,25.495098,23.086792,29.410883,35.468296,18.384777,25.495098,18.973665,18.0,15.264338,8.0,20.615528,24.186773,12.206555,13.453624,14.866069,6.708204,6.0827627,11.7046995,1.0,1.0,4.472136,0.0,1.0,13.601471,24.020824
27,42.0119,53.814495,45.79301,29.15476,25.70992,26.476404,35.383614,42.72002,22.36068,24.166092,21.0,21.213203,16.03122,11.401754,28.178005,20.518284,16.40122,20.248457,12.206555,8.0,10.29563,7.2111025,1.0,5.0,1.0,1.0,0.0,22.090721,33.01515
28,32.0,32.202484,24.738634,28.178005,41.400482,33.105892,22.0,23.194826,26.400757,44.04543,35.35534,30.232433,33.42155,23.43075,12.0,44.28318,18.788294,12.649111,34.48188,24.41311,12.0415945,32.984844,20.615528,10.630146,27.073973,13.601471,22.090721,0.0,1.0
29,31.0,30.805843,23.769728,29.410883,45.276924,35.0,21.0,22.203604,27.802877,50.537113,40.81666,34.058773,40.311287,30.675724,11.401754,52.49762,22.203604,13.601471,42.379242,32.280025,17.888544,43.104523,30.149628,18.248287,38.0,24.020824,33.01515,1.0,0.0
